station number;nbDocks
300054;23
300055;28
300056;22
300057;23
300058;24
300059;22
300060;22
300061;19
300062;24
300063;30
300064;39
300065;37
300067;24
300068;26
300069;24
300070;25
300071;18
300072;18
300073;21
300074;24
300075;29
300076;24
300077;30
300078;29
300079;19
300080;27
300081;37
300082;18
300083;21
300084;26
300085;23
300086;26
300087;37
300088;28
300089;24
300090;22
300091;28
300092;25
300093;18
300094;31
300095;37
300096;24
300097;30
300098;20
300100;21
300101;33
300200;34
300201;29
300202;24
300203;30
300204;23
300205;28
300206;42
300207;28
300208;29
300209;32
300210;24
300211;30
300212;27
300213;27
300214;42
300215;25
300216;26
300217;28
300219;28
300220;25
300221;27
300222;25
300224;37
300225;32
300226;31
300227;35
300228;36
300229;27
300230;25
300231;35
300232;26
300234;28
300235;24
300236;24
300237;30
300238;23
300239;24
300240;28
300241;27
300242;28
300243;27
300244;18
300245;30
300246;38
300247;24
300248;30
300249;27
300250;24
300252;35
300253;30
